text,classification,topics,
"This hall is not very well or may be not known to me???  but the exact location is in between shell pump and town police station and opposite to cheif Grill?
500 to 700 people can easily be served in this wedding Hall? neat and clean hall ??? parking is a issue?",neutral,"venue, parking, cleanliness","food, decor, cleanliness, service, venue, atmosphere, and bad_experience."
Great and pleasure place clean neat and safe place for gathering function and much more.,good,"service, atmosphere",
This hotel is best for the grand parties. I recommend it for UET Peshawar students. The price is also good and the taste of the food is amazing.,good,food,
The is very amazing hall,good,venue,
Nice well decorated marquee. Prices are also reasonable. But the food was not that much tasty as other marquees provide. Please work on food quality.,neutral,food,
"Parking area is small. Food is good. Staff is cooperative. If you are coming from Gulbahar side, don't take the u-turn which is in front of this Marquee, instead use the next U-turn.",neutral,venue,
"The food was fine but the interior of the hall is not that much satisfying, there needs to be clean utensils and the sheets needs to be replaced after every meal severed. The interior of the hall must be refurnished to match the high quality standards.",neutral,"food, cleanliness, food, atmosphere",
"its very sad to say there is no proper management for load sheding Also Waiters services also very bad,Waiters show really bad behaviour ????",bad,service ,
Sitting area is not suitable clean. Out side and main area lighting zero...waiter un_train,neutral,"venue, service, atmosphere",
"Good place , waiting area yes , car parking inside . Huge hall good number of people can be adjust .",good,,
"Very limited space , and the tables decoration isn't good , beside parking issues. Only very limited cars can be parked. Need to expand its parking lot and the hall capacity.",bad,,
Spacious hall and neat and clean environment.,neutral,,
Very beautiful wedding hall,good,,
food was good per head system but not very spacious and little issue of parking,neutral,,
"It is very accessible.
The food was very good the only drawback they have is parking space and parking management.",neutral,,
"Good wedding hall on main university road, easy excess with good food.",good,,
"Very nice and cooperative service, good food and management. Especially Brother Kamran, very polite and good man.",good,,
"Very less parking area, its good for maximum 300 guests with less than 30 cars",neutral,,
"Very limited space for parking and also small halls , it's good for a short gathering",neutral,,
"It is nice place for weddings and other events. It has capacity of 500 people,",neutral,,
Pathetic wedding hall. The ACs were not working at all and arrangements were not good.,bad,,
sitting area is nice but open area is not enough for parking .Had to park car on road.,bad,,
The halls is good in appearance and has ample parking space but the food quality is very poor.,neutral,,
Excellent and economical wedding hall in the town,good,,
Khan gym,neutral,,
Peshawar city have a few excellent facilities for dining. Grand Marquee is one of such facilities.,neutral,,
Great place but infrastructures should be improve.,good,,
Good palace for wedding & all function having parking area and other facilities.,neutral,,
Excellent wedding hall but the parking area is small.,neutral,,
Best location with best design of the building . I enjoyed the event there.,good,,
Good hall for limited number of guests. Average parking area.,neutral,,
Very good,neutral,,
Very gorgeous ?? hall love it! Also the hall management is very nice ??,good,,
A very good hall and also one of the big halls very well decorate,neutral,,
Dunba karai not well and not serve raita,bad,,
Poor AC quality....not a moment extra given for the guests to leave....AC shutdown at 03:05,bad,,
Nice place for all types of gathering,good,,
Amazing wedding hall supportive staff,good,,
A Grateful place for Graceful people. Lile it,neutral,,
"The rest is good, but parking is too small.",neutral,,
Didn't like the places are not clean and lighting too poor.,bad,,
Nice planning having separate halls for male and female.,neutral,,
Needs to improve food quality,neutral,,
"Dirty washroom, No proper cooling system, ill mannered staff.",bad,,
Nice location.,good,,
Sir parking problem  by it's ok,good,,
Food is good and so is their Marquee,good,,
good place for every body,good,,
I had a good experience there,good,,
Very nice wedding hall.,good,,
"One of the Best Wedding Marquee in Peshawar.
The Palm Marquee University Road
Peshawar KPK.
Superb services are Good ?? A-One ????",good,,
"A local renowned wedding & events hall with a capacity of accommodating up to 800 to 1000 guests (male & female) at a time. The hall also has spacious parking space where 150 to 200 vehicles can be parked at a time. The hall offers it's own food menu for your event, so arranging a cook (bawarchi) from outside is not allowed (I guess).",neutral,,
"One of the most elegant wedding arrangements. Very clean and serene. Food is plentiful, fresh, and delicious. The staff is extremely courteous and respectful. Manager is one of the most gentlemanly people you will ever meet.",good,,
Great place for events a shadi Hall,good,,
"Food is 5 star
Stage designer is 5 star
DJ is 1 star
The manager is a good guy (mr pervaiz)
Be sure to tell them before scheduled time to turn on their ACs during summers.
Not giving 5 stars just because of DJ.
I attended more than 10 events, including 5 events booked by myself.",good,,
One of the best wedding hall in town the staff are also  respectful and hard worker n well known for wedding ceremony the price is so low   also a beg parking separate hall for ladies  all the ficiltes are available on one roof,neutral,,
Nice wedding hall and is used for  other functions as well.,neutral,,
"The Palm Marquee - Banquet Hall in Peshawar

A local renowned wedding & events hall with a capacity of accommodating up to 800 to 1000 guests (male & female) at a time.",neutral,,
Location was good but staff and parking very poor and not professional,neutral,,
"A nice place,good  ambiance,courteous staff,delicious food and a huge secured parking.",good,,
"Good taste and good environment for family, but don't know about Expenses here.",good,,
Its a good marquee and the place is on University Road in Peshwar main city. The area is busy area and the area consists of brands. Its easily accessible by any transport means. The new bus service is also available. University Road is the heart of Peshawar. The marquee is well organised and environment and decoration is very good. The food was very delicious,good,,
It's very nice. Quality food service.,good,,
Service is too bad for wedding purposes they should try another way of treating .all of waiters are disguisting and also that food was akhhh as awfull. No taste at all,bad,,
Best wedding Hall. Each and everything is great whether it hall food parking or washrooms.,good,,
"Good place for seminar, wedding celebration and other functions",neutral,,
Excellent food and ambience. Good service. Parking capacity and specially enterance and exit gate is one and narrow.,good,,
Good place dishes wqs really delcious,good,,
"Spacious, with separate sitting sides for male and female. Service is quick and dishes are tasty. Approachable",neutral,,
Wonderful place credit goes to management's and staff,good,,
Well the hall was amazing also the seats and the area also,good,,
